Proveedor,Precio Promedio ($/u),Tiempo de Entrega (dias),Nivel de Calidad (%),Volumen de Compra Anual ($),Distancia al CD (km),Riesgo Financiero (1-10)
Proveedor 0001,53.80,6,95.5,585245,220,1.8
Proveedor 0002,21.52,14,93.5,241245,568,4.2
Proveedor 0003,50.19,24,63.5,89555,266,7.3
Proveedor 0004,25.85,8,78.9,230848,632,2.4
Proveedor 0005,59.98,6,97.4,672325,206,3.0
Proveedor 0006,27.99,11,87.1,292037,581,4.9
Proveedor 0007,44.56,21,69.5,44992,337,7.2
Proveedor 0008,60.64,7,98.0,655223,115,1.4
Proveedor 0009,41.83,20,63.9,45454,397,8.2
Proveedor 0010,31.42,9,83.9,269675,593,4.3
Proveedor 0011,53.84,6,97.4,482582,186,2.4
Proveedor 0012,55.43,4,98.0,594231,227,2.9
Proveedor 0013,50.41,5,97.4,488144,222,1.0
Proveedor 0014,60.99,7,99.1,374734,205,1.5
Proveedor 0015,61.64,8,99.8,702638,195,2.0
Proveedor 0016,63.50,4,93.3,601175,174,3.0
Proveedor 0017,63.76,8,99.2,496940,193,1.9
Proveedor 0018,54.05,6,94.1,371168,170,3.1
Proveedor 0019,48.55,13,67.1,60109,406,8.4
Proveedor 0020,46.13,23,66.4,51636,276,7.8
Proveedor 0021,42.79,21,64.8,61762,334,8.4
Proveedor 0022,59.14,5,95.5,349173,198,1.9
Proveedor 0023,40.57,18,69.7,43763,380,8.1
Proveedor 0024,25.22,8,84.9,208057,652,4.7
Proveedor 0025,48.09,21,71.0,89458,346,7.4
Proveedor 0026,33.91,12,79.1,194651,450,3.2
Proveedor 0027,20.48,9,82.6,256710,424,3.4
Proveedor 0028,41.20,24,63.1,53754,390,6.8
Proveedor 0029,64.80,4,98.1,546545,217,2.7
Proveedor 0030,29.51,6,80.6,275853,621,4.2
Proveedor 0031,58.28,6,97.9,533081,147,2.0
Proveedor 0032,30.57,5,87.3,206169,655,4.1
Proveedor 0033,59.37,6,95.4,626467,68,1.7
Proveedor 0034,34.24,10,83.9,249134,541,4.6
Proveedor 0035,33.13,11,81.3,199643,507,3.4
Proveedor 0036,67.21,7,98.4,548414,261,2.2
Proveedor 0037,48.55,19,61.2,57175,361,8.6
Proveedor 0038,35.99,20,70.3,86428,396,7.4
Proveedor 0039,49.73,24,62.3,44814,432,8.0
Proveedor 0040,41.43,19,68.1,56788,422,8.6
Proveedor 0041,57.92,6,100.0,623386,182,2.3
Proveedor 0042,46.30,19,59.3,44545,401,9.5
Proveedor 0043,45.88,22,66.1,46607,477,8.1
Proveedor 0044,55.53,22,72.3,70134,393,7.9
Proveedor 0045,29.07,12,84.9,224256,613,3.6
Proveedor 0046,33.80,22,69.4,100748,327,7.8
Proveedor 0047,50.68,19,78.0,39110,301,8.4
Proveedor 0048,23.90,9,84.7,173542,626,3.0
Proveedor 0049,24.73,8,84.9,175122,701,3.9
Proveedor 0050,58.08,4,98.7,794434,199,2.9
Proveedor 0051,30.55,7,81.0,261232,612,4.6
Proveedor 0052,45.80,17,67.0,50467,320,8.7
Proveedor 0053,33.43,10,81.8,206089,611,2.9
Proveedor 0054,34.01,8,84.2,236722,491,4.8
Proveedor 0055,57.88,5,97.1,632853,213,1.0
Proveedor 0056,53.20,20,66.5,58212,328,8.3
Proveedor 0057,46.68,17,66.9,66747,228,8.1
Proveedor 0058,64.42,6,95.3,656952,301,3.0
Proveedor 0059,35.54,23,76.3,43317,382,8.4
Proveedor 0060,40.65,24,66.5,65789,397,8.4
Proveedor 0061,35.60,21,64.0,66738,411,6.7
Proveedor 0062,64.23,6,96.4,523517,217,2.4
Proveedor 0063,45.75,20,70.5,43456,389,7.1
Proveedor 0064,35.01,13,86.6,230948,519,5.2
Proveedor 0065,37.18,10,81.7,147491,511,3.3
Proveedor 0066,34.90,22,62.9,52947,344,8.6
Proveedor 0067,26.54,14,83.4,140994,721,5.1
Proveedor 0068,60.81,5,95.6,681522,161,2.0
Proveedor 0069,26.31,10,80.3,244396,681,4.6
Proveedor 0070,27.44,7,81.7,218144,565,4.8
Proveedor 0071,58.28,5,99.9,626010,281,1.8
Proveedor 0072,54.62,4,96.9,540813,151,2.1
Proveedor 0073,31.34,14,85.4,209591,528,4.5
Proveedor 0074,29.53,11,83.0,252508,623,3.8
Proveedor 0075,51.32,25,63.9,61214,393,8.9
Proveedor 0076,53.79,19,70.7,67461,373,8.5
Proveedor 0077,59.82,6,97.3,731363,202,1.7
Proveedor 0078,25.62,9,85.2,181454,650,3.6
Proveedor 0079,43.65,19,64.1,66366,283,8.8
Proveedor 0080,61.30,5,96.8,746304,184,1.1
Proveedor 0081,63.92,4,98.7,635373,343,1.6
Proveedor 0082,60.30,5,95.9,451864,211,1.6
Proveedor 0083,47.01,21,62.4,63714,416,8.1
Proveedor 0084,63.57,7,96.3,426491,237,2.0
Proveedor 0085,28.60,9,80.6,194926,592,3.8
Proveedor 0086,29.96,11,86.6,262426,581,4.3
Proveedor 0087,22.41,11,82.7,157061,644,6.5
Proveedor 0088,30.90,7,83.6,171846,642,5.0
Proveedor 0089,61.04,4,99.1,595476,196,2.1
Proveedor 0090,58.56,4,100.0,480663,201,3.7
Proveedor 0091,31.88,11,82.6,182894,539,5.6
Proveedor 0092,29.55,9,83.0,241540,813,2.1
Proveedor 0093,25.93,9,83.2,219509,451,5.2
Proveedor 0094,26.12,13,87.4,243733,567,3.0
Proveedor 0095,24.13,9,81.5,218182,528,3.2
Proveedor 0096,52.67,20,54.4,40001,347,6.9
Proveedor 0097,48.37,20,62.1,32862,353,8.9
Proveedor 0098,62.06,6,97.4,653510,210,2.2
Proveedor 0099,66.58,6,94.4,615214,259,2.5
Proveedor 0100,59.19,5,97.4,467472,267,2.7
Proveedor 0101,47.70,23,70.5,61671,331,8.8
Proveedor 0102,22.30,10,89.7,280470,467,5.6
Proveedor 0103,63.20,6,95.2,572657,169,1.5
Proveedor 0104,48.06,20,68.1,56466,408,8.1
Proveedor 0105,57.33,21,78.5,62367,277,8.6
Proveedor 0106,55.66,5,96.9,692470,273,1.2
Proveedor 0107,21.29,11,78.3,219339,585,3.4
Proveedor 0108,19.85,12,78.5,251440,514,4.1
Proveedor 0109,63.95,5,96.9,524742,212,1.8
Proveedor 0110,40.75,19,59.6,63447,287,9.3
Proveedor 0111,44.72,22,68.8,74768,340,8.0
Proveedor 0112,30.54,9,82.2,225324,632,4.8
Proveedor 0113,24.60,11,85.8,216417,626,3.5
Proveedor 0114,50.49,20,71.1,66906,381,9.3
Proveedor 0115,43.19,17,60.7,69834,331,8.0
Proveedor 0116,28.73,7,84.1,231755,536,5.6
Proveedor 0117,42.88,21,75.9,69981,416,7.8
Proveedor 0118,33.24,21,67.4,47496,360,8.9
Proveedor 0119,58.37,7,97.1,692655,150,2.3
Proveedor 0120,51.44,22,67.5,53784,333,8.3
Proveedor 0121,46.19,19,72.2,49641,442,9.0
Proveedor 0122,26.96,9,80.4,222244,526,5.6
Proveedor 0123,57.62,5,97.6,470570,252,2.1
Proveedor 0124,50.15,20,73.4,36207,333,7.6
Proveedor 0125,62.01,5,98.1,541770,123,1.8
Proveedor 0126,46.39,16,65.5,73511,302,7.8
Proveedor 0127,59.76,7,96.9,740665,168,2.5
Proveedor 0128,59.35,21,74.5,44851,260,9.1
Proveedor 0129,64.36,4,97.0,550859,230,2.3
Proveedor 0130,43.11,22,63.0,90212,338,7.8
Proveedor 0131,29.82,6,85.6,170614,548,5.0
Proveedor 0132,60.58,4,96.8,648663,194,2.5
Proveedor 0133,55.34,6,97.9,553066,220,2.7
Proveedor 0134,30.92,8,84.2,241784,567,4.0
Proveedor 0135,47.27,20,71.9,48022,340,8.3
Proveedor 0136,25.51,8,87.6,174438,617,4.6
Proveedor 0137,22.36,10,82.5,177345,525,5.5
Proveedor 0138,56.30,4,95.8,637322,195,1.0
Proveedor 0139,27.43,10,84.4,193730,507,5.6
Proveedor 0140,21.53,12,87.9,173504,612,3.5
Proveedor 0141,32.44,25,70.9,25284,424,9.0
Proveedor 0142,61.20,6,96.7,412615,254,1.6
Proveedor 0143,55.72,5,100.0,498048,190,1.1
Proveedor 0144,26.57,11,84.6,162915,477,4.7
Proveedor 0145,21.74,10,86.4,186133,422,4.8
Proveedor 0146,56.10,5,97.5,689127,113,2.1
Proveedor 0147,52.38,21,66.7,50933,325,8.2
Proveedor 0148,44.27,20,58.2,74965,383,9.3
Proveedor 0149,51.31,27,71.5,80777,375,8.0
Proveedor 0150,22.64,10,82.8,207038,498,3.2
Proveedor 0151,57.12,4,97.4,477386,190,1.8
Proveedor 0152,45.71,21,68.4,69829,425,8.9
Proveedor 0153,48.14,18,74.9,26421,393,8.6
Proveedor 0154,58.92,4,99.6,487995,115,1.3
Proveedor 0155,48.73,24,57.2,48268,343,8.7
Proveedor 0156,45.96,20,67.5,70429,364,7.5
Proveedor 0157,58.52,20,68.9,56177,375,8.8
Proveedor 0158,23.37,12,84.0,214491,532,3.7
Proveedor 0159,33.09,10,85.0,221598,481,4.2
Proveedor 0160,49.72,23,64.4,41744,397,7.8
Proveedor 0161,29.79,8,85.2,245255,574,2.0
Proveedor 0162,43.94,21,63.2,50781,342,9.2
Proveedor 0163,31.61,8,85.5,193899,637,5.0
Proveedor 0164,33.30,10,84.3,245231,503,3.5
Proveedor 0165,55.02,6,95.0,419196,195,3.4
Proveedor 0166,54.37,19,68.4,66877,377,7.0
Proveedor 0167,27.93,7,84.4,248917,606,4.4
Proveedor 0168,27.63,9,82.3,192590,575,3.9
Proveedor 0169,22.46,10,90.4,258902,576,4.2
Proveedor 0170,55.70,25,70.1,64431,264,8.9
Proveedor 0171,58.07,6,95.6,622402,116,1.0
Proveedor 0172,63.06,9,98.8,594795,168,1.3
Proveedor 0173,66.73,5,95.6,595966,219,2.3
Proveedor 0174,18.32,12,82.0,222467,705,3.4
Proveedor 0175,32.20,12,91.8,240913,447,2.1
Proveedor 0176,66.12,6,96.7,445303,174,1.8
Proveedor 0177,52.45,23,71.7,70499,420,8.5
Proveedor 0178,47.50,20,64.3,58629,329,7.9
Proveedor 0179,58.43,6,96.5,434591,140,1.2
Proveedor 0180,31.55,10,84.4,204346,478,4.0
Proveedor 0181,58.47,7,97.7,630269,143,1.4
Proveedor 0182,52.37,21,64.9,36113,390,9.6
Proveedor 0183,23.16,9,85.9,198439,584,4.2
Proveedor 0184,57.25,5,97.3,741784,215,2.3
Proveedor 0185,29.64,7,82.4,187418,490,4.0
Proveedor 0186,57.75,4,95.0,637566,200,1.0
Proveedor 0187,57.33,7,97.2,486843,225,1.2
Proveedor 0188,26.01,10,79.2,189707,620,3.1
Proveedor 0189,49.83,21,72.0,56096,313,8.0
Proveedor 0190,53.06,16,67.0,73796,425,7.1
Proveedor 0191,57.81,6,100.0,764388,148,1.6
Proveedor 0192,41.46,23,63.5,74937,400,10.0
Proveedor 0193,59.29,6,97.6,581031,122,2.1
Proveedor 0194,43.79,21,62.3,45805,253,7.2
Proveedor 0195,63.86,5,98.8,532955,174,3.0
Proveedor 0196,43.80,17,65.6,64696,414,8.8
Proveedor 0197,62.84,6,97.6,564324,178,1.9
Proveedor 0198,67.11,5,99.1,481588,250,1.5
Proveedor 0199,56.34,7,94.1,405685,183,2.3
Proveedor 0200,62.02,20,62.2,52024,384,7.7
Proveedor 0201,62.40,8,98.3,542953,201,1.0
Proveedor 0202,59.04,24,75.5,69772,309,8.3
Proveedor 0203,62.01,7,96.9,702330,195,1.0
Proveedor 0204,49.22,23,66.9,38986,371,8.7
Proveedor 0205,52.37,23,72.5,44642,419,7.8
Proveedor 0206,44.12,18,62.3,45576,202,7.8
Proveedor 0207,27.69,7,84.1,226405,626,5.4
Proveedor 0208,37.07,10,83.5,217508,671,4.7
Proveedor 0209,57.69,6,96.8,543526,149,1.6
Proveedor 0210,32.08,9,82.6,191621,635,3.3
Proveedor 0211,55.97,6,96.3,568958,216,3.4
Proveedor 0212,61.86,3,94.3,670157,210,3.2
Proveedor 0213,54.25,6,97.3,581085,155,1.9
Proveedor 0214,21.26,11,83.9,150672,578,3.4
Proveedor 0215,55.80,5,92.3,674426,172,1.2
Proveedor 0216,51.22,3,97.8,522705,258,2.0
Proveedor 0217,26.55,9,87.8,232813,513,4.0
Proveedor 0218,60.99,7,95.1,572824,131,2.6
Proveedor 0219,41.76,21,61.2,58066,388,9.7
Proveedor 0220,58.76,6,98.7,501786,215,2.1
Proveedor 0221,18.97,11,90.3,171885,526,3.8
Proveedor 0222,27.45,10,85.0,239526,546,4.5
Proveedor 0223,24.00,11,78.6,198901,416,3.7
Proveedor 0224,24.61,7,82.7,217230,689,5.9
Proveedor 0225,65.85,4,98.4,557945,205,2.4
Proveedor 0226,67.43,4,99.6,566405,178,1.9
Proveedor 0227,54.54,19,64.5,48933,392,8.1
Proveedor 0228,26.73,10,79.2,186239,623,5.2
Proveedor 0229,30.87,8,85.1,201910,615,2.5
Proveedor 0230,26.21,11,89.3,275235,349,4.7
Proveedor 0231,42.61,23,70.6,74915,436,8.8
Proveedor 0232,48.85,22,72.8,106508,410,8.3
Proveedor 0233,29.83,9,83.7,234434,676,5.5
Proveedor 0234,69.58,7,97.1,646601,155,1.8
Proveedor 0235,62.89,6,96.2,669613,235,1.1
Proveedor 0236,51.12,16,65.7,62083,411,8.3
Proveedor 0237,25.06,11,84.8,215979,476,4.6
Proveedor 0238,44.48,19,67.1,54360,465,7.9
Proveedor 0239,55.24,20,66.9,73627,275,8.3
Proveedor 0240,59.08,4,96.1,492164,293,2.5
Proveedor 0241,36.18,19,65.1,51262,406,8.1
Proveedor 0242,63.11,6,96.5,611442,112,2.2
Proveedor 0243,54.14,5,96.6,628702,249,2.2
Proveedor 0244,58.30,7,99.2,680167,218,2.8
Proveedor 0245,57.09,24,68.0,60968,345,8.0
Proveedor 0246,46.94,19,74.2,39787,385,7.3
Proveedor 0247,49.04,25,63.9,48086,347,7.0
Proveedor 0248,28.77,9,80.7,174785,716,3.5
Proveedor 0249,23.92,10,82.3,186344,603,4.9
Proveedor 0250,62.16,5,95.6,538704,87,2.5
Proveedor 0251,41.93,21,60.3,47905,285,8.1
