Proveedor,Unidades_Recibidas,Unidades_Defectuosas,Entregas_Totales,Entregas_A_Tiempo,Lineas_Totales,Lineas_Completas,Precio_USD,Logistica_USD,Costo_Calidad_USD,Costo_Administrativo_USD,Presupuesto_TCO_USD,Requisitos_Totales,Cumplimientos,Num_Solicitudes,Tiempo_Total_Respuesta_H
Agro Central,28609,14,54,51,1517,1453,173226,20227,3426,4176,201858,34,31,7,131.9
Distribuidora del Este Industrial,37579,17,229,209,1453,1311,52659,5981,1227,1886,60822,36,33,32,564.6
Electro Global Co.,34807,13,122,120,1082,1070,204166,13372,6431,7265,236420,39,38,38,690.6
Agro Meridiano Co.,27842,7,219,214,1061,1031,215643,23117,8680,8440,266886,32,31,24,174.1
Tecnologia Industrial Ltda.,15649,8,123,115,946,895,21835,2785,810,691,25160,33,31,38,823.5
Ferreteria Pionera de Colombia,26214,55,136,83,2163,1595,197294,24569,3728,9688,201176,34,23,12,941.9
Cauchos Nacional Industrial,51688,14,67,65,2126,2088,110497,12182,4614,2820,132840,48,48,8,76.8
Papeleria Austral Corp.,13360,16,231,183,427,378,131561,12722,5026,5541,146784,53,47,29,1168.4
Logistica Meridiano Ltda.,11515,5,200,186,407,374,219049,28716,12226,6001,266498,17,16,19,414.7
Maderas Zenit de Colombia,8194,1,195,193,1515,1480,167063,11247,6191,5886,188870,42,41,35,619.8
Suministros Atlantico,16994,22,56,44,1387,1136,118879,7847,1931,5533,115600,52,46,22,700.1
Distribuidora Atlantico Corp.,53061,6,166,162,2174,2129,70663,9622,2277,3492,91748,30,29,11,211.4
Rodamientos del Sur Corp.,22605,27,230,180,1072,930,196860,26270,5025,8284,217240,37,30,14,614.2
Logistica Rapido Corp.,10948,20,228,147,1547,1123,50483,6691,2928,1756,50443,47,30,21,1088.5
Lubricantes Nacional Ltda.,31869,50,168,142,1772,1512,49017,5369,2492,1179,49604,37,31,34,1018.4
Quimica del Pacifico S.A.S.,33417,32,154,134,744,635,170809,11249,3971,7580,164104,31,27,20,502.9
Logistica del Valle Ltda.,25338,11,121,114,1675,1581,121349,14634,2371,3396,136313,17,16,31,778.5
Componentes Real Co.,14816,7,205,186,1882,1703,142084,10652,4510,6609,155819,54,50,18,352.7
Componentes Andina Industrial,31825,36,221,176,1093,952,182453,13296,10252,8540,199090,41,34,28,984.4
Insumos Union Industrial,47335,70,185,150,961,772,139958,15002,2479,5766,146946,23,19,8,250.7
Insumos Meridiano,27566,4,144,141,912,886,169022,10482,4836,3534,186453,55,54,10,132.1
Agro Prime S.A.S.,10347,15,234,184,573,489,79616,4984,4104,3778,79327,20,16,37,1806.9
Fundicion Atlantico Ltda.,52381,47,50,41,1604,1397,58545,4766,3335,1643,62834,47,36,29,1304.6
Vidrios Austral de Colombia,57873,37,58,56,2108,1949,129412,17415,1550,4346,147581,40,37,10,259.6
Distribuidora Andina,31448,64,173,132,387,265,209764,13297,7564,7979,200497,59,44,15,772.0
Insumos Zenit,13861,5,222,219,1757,1718,195937,14849,7579,7673,224627,26,26,26,180.4
Fundicion Vanguardia Ltda.,12345,3,198,193,897,884,198054,14442,2245,7828,222039,54,54,28,277.4
Cementos Pionera de Colombia,18679,47,43,28,533,418,28705,2019,1282,1273,25338,55,37,38,2308.6
Vidrios Pionera Group,22713,16,124,115,640,597,42943,2965,2533,2072,50231,25,24,13,365.3
Vidrios Andino S.A.,11018,3,169,168,831,815,87860,8920,4240,4154,108162,45,45,39,396.4
Lubricantes Central de Colombia,15855,26,226,180,1257,1019,71223,8630,2878,2093,75238,18,14,25,968.8
Vidrios Vanguardia Corp.,55456,20,41,40,1249,1236,178399,17382,4487,5058,217848,51,50,30,543.1
Distribuidora Real Industrial,36337,46,78,67,1362,1123,36940,4633,2076,851,40241,32,26,14,590.3
Cristaleria Andina Industrial,43787,48,122,106,1248,1025,145442,10897,2228,5951,150701,29,23,11,484.2
Lubricantes Rapido Corp.,24123,50,143,100,1228,939,125502,8102,3946,4996,123652,58,40,17,812.2
Acero Horizonte Industrial,22094,35,106,93,2149,1784,205239,16886,11274,8295,227664,35,27,18,532.9
Cueros del Valle S.A.,53088,78,251,208,716,582,52667,3855,1776,1077,55454,16,12,10,320.8
Plasticos Vanguardia de Colombia,47569,37,114,108,873,823,49366,5950,903,2349,55967,52,49,26,676.9
Fundicion Zenit,27875,24,166,153,1133,1030,72794,9037,3286,2862,86568,51,46,33,972.9
Maderas Union S.A.,36497,22,46,43,1744,1657,218555,15701,9973,9782,241283,31,29,37,631.5
Maderas Austral Ltda.,44092,14,216,212,1708,1692,122277,16294,1508,2557,143642,54,53,20,374.0
Papeleria Global S.A.S.,19163,7,170,167,492,482,93020,6576,4011,4178,114025,38,37,18,267.5
Agro Real S.A.,29717,32,138,118,1025,887,77626,5136,1628,2184,79295,27,22,12,558.0
Envases Express S.A.,14560,28,79,56,464,312,178166,20331,6656,6866,159345,16,10,9,479.9
Envases del Oeste S.A.,37261,80,172,128,706,538,26137,3256,969,820,25824,56,38,38,2027.7
Insumos Andina Ltda.,24714,16,127,120,1725,1648,85487,6887,2725,2964,95292,18,17,10,265.2
Metal Global de Colombia,50845,41,122,113,1553,1475,56275,4802,2551,2426,65230,39,37,23,503.0
Industrias Express Industrial,33586,56,143,114,1246,1099,29386,2166,1009,1050,31809,56,45,25,745.3
Repuestos Delta S.A.,23506,8,113,110,1476,1457,56597,3625,1168,2686,64612,32,32,33,645.9
Logistica Real Co.,17908,47,179,114,2060,1342,80200,4991,1681,1665,73842,19,14,9,683.2
Distribuidora Central Ltda.,27727,6,94,92,2187,2172,54442,6281,1090,1692,64608,15,15,22,274.0
Textiles Confiables Group,47011,18,244,242,766,760,52013,6799,2189,1929,64413,39,38,8,63.1
Quimica Real,40703,68,77,64,1018,841,163609,18958,4806,3402,163944,29,24,38,1653.4
Suministros Express S.A.S.,34190,28,205,189,1654,1526,22050,2011,1169,824,24908,37,35,24,521.0
Cueros Horizonte Co.,44524,98,203,133,684,445,83321,5469,962,3983,81012,58,38,20,860.7
Agro del Sur Ltda.,38923,26,57,53,954,871,133706,11228,1855,5735,153713,48,44,36,787.0
Repuestos Pionera S.A.,43175,9,249,242,708,691,152712,12833,8201,6088,187278,38,37,10,195.2
Envases Norte S.A.,59470,89,208,176,937,807,120140,7388,5551,4904,121515,41,36,20,803.9
Cauchos Premier Corp.,57431,26,138,125,2060,1976,54064,7199,1128,2329,66007,48,44,10,236.2
Insumos Moderna S.A.,32416,57,79,66,455,377,131411,17909,5121,5179,151118,50,40,17,490.2
Papeleria Pionera Corp.,46766,48,136,113,1835,1526,78740,9647,837,3633,77554,39,33,11,307.0
Plasticos Rapido Industrial,40815,18,153,143,675,632,108130,12978,4905,3958,131284,34,31,33,930.0
Insumos Continental Corp.,21253,5,115,113,2179,2144,59138,4306,2403,1261,65821,35,35,7,100.3
Acero Express Group,58493,87,51,42,1929,1631,41672,4050,1160,1567,45077,24,18,30,963.4
Materiales del Valle S.A.S.,57429,35,131,121,697,656,128098,15568,1699,5359,144212,50,46,6,150.3
Plasticos Union S.A.S.,11667,12,258,230,1226,1070,107852,14606,6179,3363,118741,26,22,19,898.6
Quimica del Oeste Industrial,50827,66,144,115,1918,1638,214395,24797,3525,10114,212403,20,15,39,1669.6
Acero Andina Group,47656,24,109,104,941,875,28612,2258,951,1328,32667,41,40,9,140.5
Tecnologia Norte Group,56890,70,67,55,1122,974,43663,2833,2083,1613,44787,36,29,28,970.3
Distribuidora Austral,9051,1,63,62,615,599,153964,9497,3930,7413,178973,53,51,24,332.5
Repuestos del Valle Ltda.,49442,131,101,64,1949,1404,118319,8013,1455,5882,100976,57,41,30,1580.1
Lubricantes Industrial S.A.S.,13232,9,162,150,852,809,167580,15155,5586,7150,189588,32,30,35,738.2
Maderas Andina S.A.S.,35878,30,68,64,1669,1515,219338,29640,11439,9500,273587,42,40,19,468.7
Herrajes Global Co.,38116,92,93,57,537,387,46103,4269,2384,1785,44089,58,42,30,2338.5
Materiales Norte de Colombia,10948,9,119,112,1522,1410,92208,10233,2112,3162,110407,23,22,23,429.9
Electro Moderna S.A.S.,41094,30,104,98,770,720,219807,19388,7115,6847,251184,34,31,14,271.5
Maderas Horizonte,15855,1,226,224,1848,1827,17926,1977,890,634,21404,18,18,30,338.5
Cueros Rapido Corp.,38234,32,245,234,1602,1478,30025,3883,770,1046,35939,18,17,12,268.9
Metal Express Co.,48900,98,242,164,1945,1274,97519,8280,3438,1974,84233,47,35,21,1045.1
Ferreteria del Valle Co.,20318,6,216,214,1189,1171,190072,12175,5119,5615,226787,58,57,11,61.5
